type,queue,priority,language,tag_1,tag_2,tag_3,tag_4,text_preview
Change,Technical Support,low,en,Upgrade,Software,Hardware,Cybersecurity,request for upgrade of marketing team s digital content creation and cybersecurity infrastructure gr
Incident,Product Support,low,de,Bug,Performance,IT,Tech Support,hilfe bei problemen mit der datenintegration erforderlich bei der datenintegration wurden fehler in 
Request,Technical Support,medium,de,Feedback,Performance,Documentation,IT,verbesserung der unterstützung für investitionsanalytik in matlab gehörte kundenservice wenden sie s
Incident,Product Support,medium,en,Security,IT,Tech Support,Alert,support for possible data breach in medical systems customer support br br currently we are writing 
Request,Customer Service,medium,de,Feedback,Sales,Feature,,detailierte optimierung von investitionen könnten sie mehr details zur optimierung von investitionen
Incident,Customer Service,medium,de,Security,IT,Bug,Performance,urgente angelegenheit zur sicherheitslücke in den it systemen des gesundheitsdienstleisters sehr gee
Incident,Technical Support,medium,en,Technical,Hardware,Software,Malware,problem with several device malfunction hello technical support i am contacting you to report a prob
Incident,IT Support,high,en,Performance,Network,Bug,IT,experienced considerable delays in project loading times this may be due to increased user traffic o
Incident,Product Support,medium,en,Security,Virus,IT,Tech Support,report on potential security breach a potential security breach has occurred which may expose sensit
Incident,Product Support,medium,en,Performance,Bug,Crash,IT,concerns about mobile app performance a significant glitch is leading to the crash of the project ma
Request,Sales and Pre-Sales,medium,en,Feedback,Feature,Documentation,,dear customer support i am inquiring about data analytics solutions that can aid in the optimization
Change,Product Support,medium,en,Feature,Documentation,IT,Tech Support,help with saas integration for valve index vr kit need support in optimizing saas integration for va
Change,IT Support,medium,de,Feature,IT,Tech Support,Performance,support request for enhanced data processing capabilities i am writing to inquire about the extensio
Incident,Customer Service,high,de,Technical,Bug,DataLoss,Resolution,projektsynchronisation vollständig misslungen am heutigen tag die projekt synchronisation hat bei de
Incident,Customer Service,low,en,Technical,Billing,Performance,Resolution,investment report delay problem i hope this message finds you well i am encountering an issue with t
Request,Product Support,medium,en,Technical,Product,Feedback,Guidance,data analytics tools for portfolio optimization hello customer support i am contacting you to seek i
Incident,Sales and Pre-Sales,medium,de,Feedback,Sales,Marketing,Performance,assistance with marketing campaigns the digital marketing campaigns of the agency are underperformin
Request,Product Support,high,en,Feedback,Sales,IT,Tech Support,support for enhancing brand growth inquiry about customer support strategies to implement digital me
Request,Technical Support,low,de,Feedback,Product,Feature,Sales,strategien für den markenwachstum durch digitale methoden gibt es informationen über möglichkeiten w
Incident,Technical Support,high,en,Crash,Hardware,Technical,Bug,crash on microsoft surface pro 8 a project management application experienced a crash on a microsoft
Change,Product Support,high,de,Technical,Feature,Feedback,Performance,erhöhen sie den funktionalität des projekt desktops durch benutzerdefinierte widgets sehr geehrte ku
Problem,Product Support,medium,de,Technical,Bug,Software,API,problems with the campaign analysis platform currently the campaign analysis platform is not display
Incident,Technical Support,high,en,Customer,Technical,Integration,Bug,query for email support emails are not being sent through digital campaigns due to a potential probl
Problem,IT Support,medium,en,Technical,Bug,Documentation,Resolution,support request for missing project data dear customer support i am reaching out to address an issue
Problem,Returns and Exchanges,low,en,Breach,Security,Incident,Follow-Up,incident data breach detected a data breach has happened likely because the firewall is out of date
Request,Customer Service,medium,de,Customer,Product,Optimization,Analytics,optimierung von anlagenportfolios effizient sehr geehrte kundensupport ich wende mich an sie um zu e
Request,Billing and Payments,high,en,Technical,Product,Feedback,Guidance,enhancing brand growth through digital strategies with quickbooks online i am interested in explorin
Incident,Product Support,medium,de,Network,Performance,Outage,Disruption,probleme mit der verbindung zum saas tool es gibt häufige verbindungsprobleme aufgrund von inkompati
Problem,Technical Support,high,de,Security,Breach,Hardware,Network,sehr geehrte kundensupport n nich möchte ihnen einen ernsten fehler melden der dringend behandelt we
Problem,Technical Support,high,de,Technical,Customer,Product,Bug,technische anliegen mit datenanalyse dashboards ich melde mich um ein technisches problem mit unsere
Request,Billing and Payments,low,en,Sales,Feedback,Documentation,,digital marketing services customer support contacting us to inquire about digital marketing service
Incident,Technical Support,high,de,Security,Bug,Performance,IT,event data loss a data breach in the it system of the hospital has been identified with confidential
Problem,Technical Support,high,en,Performance,IT,Tech Support,,performance degradation in data analytics system dear customer support recently our financial firm h
Request,Technical Support,high,de,Technical,Security,Breach,Customer,frage zur patientensicherheit sehr geehrte kundenservice ich möchte mich erkundigen welche sicherhei
Request,General Inquiry,low,en,Customer,Guidance,Performance,Feedback,optimization of investment portfolios could you give details on how to optimize investment portfolio
Problem,Product Support,medium,en,Technical,Bug,Product,Resolution,to the support team i am reaching out to inform you about an issue with the investment forecasts tha
Request,Technical Support,high,en,Feedback,IT,Tech Support,Performance,request for guidance on optimizing digital strategies and evernote clickup integration i am looking 
Incident,Customer Service,medium,de,Performance,Bug,Feature,Feedback,probleme bei leistungsmetriken der digitalen werbaschlagung bei der digitalen werbaschlagung der mar
Incident,Technical Support,high,en,Technical,Outage,Performance,Resolution,investment predictions failed overnight investment forecasts did not predict well due to potential d
Problem,Technical Support,high,en,Bug,Performance,IT,Tech Support,assistance with data mismatches problem facing data mismatches in investment analytics owing to old 
Change,Technical Support,high,de,Technical,Security,Compliance,Feedback,anfrage zur umsetzung verfeinerten verschlüsselungsverfahrens für medizinische daten sehr geehrte ku
Change,Technical Support,medium,en,Feature,Feedback,Performance,,improve data analytics features request to enhance data analytics features need to optimize the inte
Request,Customer Service,low,en,Customer,Guidance,Marketing,Strategy,strategies for enhancing brand growth through digital channels hello customer support i am writing t
Request,Billing and Payments,medium,de,Performance,Feature,Feedback,,optimierung von investitionen smart können detaillierte informationen zur optimierung von investitio
Change,Product Support,low,de,Security,Documentation,IT,,sicherheitsmaßnahmen für medizinische datensysteme verbessern sie die sicherheitsprotokolle für medi
Incident,Product Support,medium,en,Feedback,Performance,Documentation,,concerns about digital engagement metrics customer support n nwe are preparing a report on the recen
Request,Billing and Payments,medium,en,Feedback,Sales,Lead,,would you be able to share more about digital strategies that boost brand growth thank you
Incident,Product Support,medium,en,Bug,Crash,Performance,IT,problem with software crash during peak analysis encountered frequent crashes during peak analysis t
Incident,Product Support,high,de,Feedback,Feature,Documentation,Sales,zugänglichkeit von digitalen marketingwerkzeugen umsetzung von kampagnen und förderung des wachstums
Incident,Technical Support,high,de,Security,IT,Bug,Notification,verletzung der sicherheit von it systemen entdeckt es wurde festgestellt dass es eine verletzung der
Request,Product Support,medium,de,Security,Breach,Documentation,Guidance,sicherheitsmaßnahmen für medizinische datendevices ich schreibe an sie um mehr über die protokolle z
Incident,Billing and Payments,low,en,Incident,Security,Breach,Documentation,incident report data leak via google meet patient records were exposed due to an improperly configur
Incident,IT Support,medium,en,Bug,Performance,Feature,IT,updates for the analytics tool the investment analytics tool at the financial firm has encountered a
Problem,IT Support,medium,en,Bug,Performance,IT,Tech Support,quickbooks integration problem facing issues with integrating quickbooks online and smartsheet the p
Request,Product Support,medium,en,Technical,Guidance,Integration,Performance,guidance on mysql integration hello customer support i hope this message finds you well i am writing
Request,Billing and Payments,medium,en,Billing,Product,Pricing,Discount,inquiry on pricing for project management saas i am keen to explore the pricing for your project man
Incident,Customer Service,medium,en,Login,Security,Bug,Resolution,problem with login after security update i am facing an unanticipated login failure which began afte
Change,Technical Support,high,de,Feature,Feedback,Product,Performance,anforderung für verbesserungen der funktionalitäten ich möchte anpassungen für die integrationsfunkt
Request,Service Outages and Maintenance,high,en,Feedback,Sales,Feature,Documentation,inquiry on digital strategies looking for information on digital strategies that drive brand growth 
Request,Technical Support,high,en,Product,Technical,Analytics,SAP,sap erp investment enhancement tools which analytics tools are compatible with sap erp
Request,Technical Support,high,de,Technical,Product,Analytics,Integration,welche analytik tools verbinden sich mit xero und shopify zur verbesserung von investitionen wir hab
Problem,Customer Service,high,en,Security,Bug,IT,Tech Support,customer support recent unauthorized access has been detected in the hospital systems potentially co
Request,Returns and Exchanges,low,en,Feedback,Product,Feature,IT,enquiry on investment optimization services and data analytics customer support seeking to inquire a
Request,Customer Service,medium,de,Feedback,IT,Tech Support,Feature,anfrage zur unterstützung der integration von clickup kontakt aufnehmen um informationen zur integra
Request,Customer Service,low,de,Technical,Security,Compliance,Documentation,medizinische datensicherheitsrichtlinien sehr geehrte kundensupport ich schreibe an sie um nach den 
Change,IT Support,high,en,Performance,Feature,IT,Tech Support,assistance with digital strategy optimization requesting support to optimize digital strategies in o
Request,Billing and Payments,medium,en,Security,Guidance,Documentation,Technical,security protocols for macbook air i am contacting you to seek advice on the security measures that 
Incident,Product Support,low,de,Technical,Outage,Bug,Network,fehlschlag bei der projekt synchronisierung sehr geehrte kundensupport br br ich schreibe um ein ere
Incident,Technical Support,medium,en,Technical,Incident,Resolution,Account,unforeseen portfolio rebalancing delays have happened today there were unforeseen delays in portfoli
Request,Billing and Payments,high,de,Technical,Security,Customer,Documentation,schutz medizinischer daten auf smart cpap geräten sehr geehrte kundensupport ich schreibe an sie um 
Problem,Product Support,medium,en,Feedback,Sales,Feature,IT,marketing growth challenges the marketing agency s digital strategies have not been successful in dr
Request,Technical Support,high,de,Feature,IT,Tech Support,Security,support request for api integration seeking more detailed information on api integration options for
Incident,Technical Support,high,de,Customer,Security,Breach,Feedback,unfallbericht an den kundensupport sehr geehrte kundensupport team br bei einem unfall wurde unversc
Request,Billing and Payments,medium,en,Product,Feature,Discussion,Information,features for investment tracking in zoho books hello customer support i am writing to request inform
Problem,Technical Support,medium,en,Technical,Integration,Bug,Software,problem with sony vegas pro integration here is a concise description of the issue integration failu
Problem,Technical Support,medium,en,Bug,Network,Performance,IT,postgresql database connection problem we are encountering connection problems with the postgresql d
Incident,Service Outages and Maintenance,low,de,Outage,Disruption,Performance,IT,report on service downtime service downtime affecting multiple applications including outlook and gi
Request,IT Support,medium,de,Technical,Customer,Product,Feedback,ratgeber für datenanalysewerkzeuge zur optimierung von investitionen unter ubuntu 20 04 lts sehr gee
Request,Product Support,high,en,Documentation,Feature,IT,Tech Support,project for api integration looking into api integration services and project management tools would
Incident,Technical Support,low,en,Security,Bug,IT,Tech Support,support for security breach dear customer support team we have detected a security breach that may h
Incident,Customer Service,medium,en,Feedback,Performance,Feature,Documentation,customer support inquiry on challenges with digital strategy hello customer support i am encounterin
Incident,Product Support,high,de,Technical,Security,Breach,Documentation,medizinischer datenverlust am heutigen tag ein medizinischer datenverlust ist aufgetreten der patien
Incident,Returns and Exchanges,medium,en,Bug,Crash,Performance,IT,service inquiry hello customer support i am encountering an issue with the data analysis tool while 
Incident,Customer Service,low,de,Customer,Technical,Performance,Feedback,optimierungsdashboard für investments sehr geehrte kundensupport ich habe schwierigkeiten mit dem op
Request,Customer Service,medium,en,Feedback,IT,Tech Support,,looking for customer support to inquire about how data analytics can enhance investment optimization
Problem,Technical Support,high,en,Security,Virus,IT,Tech Support,security incident exposure of patient data in hospital systems we are writing to inform you about a 
Problem,Billing and Payments,medium,en,Security,Virus,IT,Tech Support,problem with security systems found unauthorized access attempts on medical data systems could have 
Problem,IT Support,medium,de,Bug,Performance,Network,Disruption,issues with application a critical application function fails intermittently during project updates 
Problem,Billing and Payments,low,de,Billing,Customer,Payment,Resolution,rechnungsungleichheit nach manueller prüfung der zahlungen sehr geehrte kundenservice ich melde ein 
Request,Product Support,low,en,Technical,Product,Feedback,Documentation,enhancing investment strategies for financial firms through efficient data analytics tools tools suc
Problem,Service Outages and Maintenance,low,en,Crash,Bug,Outage,Technical,saas application experienced unforeseen crash the saas application encountered an unexpected crash w
Request,Billing and Payments,low,en,Billing,Payment,Sales,Feature,hello customer support i am inquiring about the billing options available for monday com integration
Incident,Returns and Exchanges,medium,de,Technical,Product,Bug,Crash,probleme mit investment analysen desktop hier ist eine kurze beschreibung des problems der investmen
Problem,IT Support,high,en,Bug,Performance,IT,Tech Support,problem with project dashboards users are unable to access the updated dashboards and clearing the c
Incident,IT Support,high,en,Technical,Campaigns,Bug,Documentation,request for support with campaigns there are issues with digital campaigns as the ads are not displa
Problem,Billing and Payments,high,de,Security,Virus,IT,Tech Support,bestätigung und anfrage zur sicherheitsverletzung wir haben erfahren dass ein unautorierter zugriff 
Request,Customer Service,low,de,Feature,Feedback,Documentation,IT,effiziente integration von monday com werkzeugen ich bin daran interessiert mehr über die integratio
Problem,Product Support,high,en,Campaign,Performance,Adjustment,Analysis,campaign efficiency issues linked to algorithm the campaign is underperforming because of reduced en
Request,Billing and Payments,medium,en,Billing,Product,Feedback,Cost,elasticsearch integration cost information i am eager to integrate elasticsearch into your cloud ser
Problem,Technical Support,high,de,Security,IT,Tech Support,Feedback,bericht über unbefugte zugangsbemühungen zu medizinischen datensystemen ich schreibe ihnen um einen 
Incident,Technical Support,low,de,Bug,Hardware,Performance,IT,issue with data processing software integration dear customer support financial institutions are enc
Incident,Technical Support,high,de,Bug,Network,Outage,Disruption,meldung über systemfehler das marketingbüro ist dem systemfehler zum opfer gefallen grundlegende dig
Request,Customer Service,medium,en,Security,IT,Tech Support,Documentation,enhancing security of medical data in hospital systems could you offer comprehensive details on secu
Incident,General Inquiry,high,en,Security,Virus,IT,Tech Support,unauthorised access attempt on medical data there was an unauthorized access attempt on medical data
Incident,Human Resources,medium,de,HR,Employee,IT,Tech Support,probleme mit zugriffsfunktionen im hr system und verfügbarkeit von lohninformationen sehr geehrte ku
Incident,Product Support,medium,en,Crash,Hardware,Virus,Tech Support,users are facing crashes when exporting projects on smartsheet android devices which might be due to
Request,Technical Support,medium,de,Feature,Product,Documentation,,solutions for protecting health data could you provide more details on solutions for protecting heal
Request,Customer Service,high,de,Security,IT,Tech Support,Performance,verschlüsselung von medizinischen daten in gesundheitsdiensten lieber kundensupport ich möchte mich 
Request,Billing and Payments,high,de,Billing,Payment,Subscription,Refund,support for autocad and squarespace dear customer service i am writing to inquire about the billing 
Incident,Technical Support,medium,en,Technical,Bug,Security,Crash,failed data encryption hello customer support i am encountering difficulties with data encryption th
Change,Customer Service,low,de,Feature,Feedback,Documentation,IT,bündeln zusätzlicher tools zur steigerung der projektmanagement effizienz gehrte kundenservice ich s
Incident,Product Support,medium,de,Technical,Bug,Crash,Documentation,antrag auf unterstützung für die behandlung von datenverlust projektdaten waren plötzlich nicht mehr
Change,Technical Support,low,en,Technical,Integration,Feedback,Enhancement,request for enhancement of mailchimp integration with adobe sign i am reaching out to request an upd
Incident,General Inquiry,low,de,Performance,Bug,IT,Tech Support,technische problem berichte über leistungsprobleme bei der projektmanagement software als dienst saa
Incident,Billing and Payments,medium,en,Account,Billing,Bug,Feature,customer support encountering difficulties generating a report on the issue of being unable to acces
Request,Customer Service,medium,en,Security,Medical,Data,Storage,security protocols for medical data storage i require details on security measures for storing medic
Incident,Technical Support,high,en,Bug,Crash,Performance,IT,technology problem an unexpected crash happened while using clickup on macos monterey for investment
Incident,Technical Support,high,de,Security,Bug,IT,Tech Support,möglicherweise liegen medizinische daten vor die durch eine software vulnerabilität und fehlende zug
Incident,Technical Support,medium,en,Technical,Network,Synchronization,Bug,issue with project synchronization the project synchronization process has encountered a problem whi
Request,Product Support,medium,de,Technical,Product,Documentation,Analysis,fusion von pytorch und airtable für optimierungsinstrumente zur analyse ich möchte pytorch mit airta
Incident,Technical Support,high,en,Network,Performance,IT,Tech Support,support for wi fi connectivity issues we are encountering connectivity problems with our saas applic
Incident,Human Resources,low,de,Technical,Software,Crash,Guidance,computer halt bei verwendung eines projektmanagementtools sehr geehrte kundenservice ich melde mich 
Incident,Technical Support,high,en,Bug,Performance,Product,Feature,dear customer support the recent update to our data analytics tool has caused issues with our invest
Problem,Customer Service,low,de,HR,Employee,Notification,,support for participant absence inquiry participation of the customer was missed
Request,Customer Service,medium,en,Feature,Documentation,Feedback,IT,integrate smart tracker tools customer support we are inquiring about integrating smart tracker proj
Request,Customer Service,low,en,Feedback,Sales,IT,Tech Support,customer support looking to inquire about digital strategies for brand growth would appreciate detai
Incident,Product Support,medium,en,Network,Performance,IT,Tech Support,connectivity issues across software platforms facing connectivity problems with various software pla
Request,Customer Service,low,en,Security,Patient,Information,SAP,protecting patient information in sap erp central component 6 0 could you outline the security proto
Problem,Technical Support,high,en,Bug,Performance,Product,Feature,technical problems facing technical challenges with various software products which are disrupting m
Incident,Customer Service,medium,de,Login,Customer,Bug,Outage,probleme bei der anmeldung heute morgens sehr geehrte kundenservice ich möchte mich melden um ein an
Request,Technical Support,high,en,Technical,Security,Guidance,Documentation,secure storage of sensitive medical information on ubuntu i would like to obtain guidance on the opt
Change,Product Support,medium,de,Technical,Analytics,Performance,Feedback,update der unternehmensweb analytics die aktualisierung der web analytics ist erforderlich um die ef
Incident,Product Support,high,en,Technical,Customer,Integration,Guidance,request for assistance with notion integration issues i am encountering difficulties with the notion
Change,Technical Support,high,en,Technical,Security,Documentation,Guidance,qnap data security dear customer support i am contacting you to seek advice on securing medical data
Problem,IT Support,high,en,Security,IT,Tech Support,Feedback,potential security breach in medical data systems a potential security breach has been identified in
Incident,Product Support,medium,en,Technical,Integration,Bug,Analytics,assistance with campaign analytics data issue greetings i am encountering a problem with the analyti
Incident,Technical Support,medium,en,Login,Outage,Maintenance,Performance,login problems a user has reported intermittent login difficulties with the project management saas 
Incident,Technical Support,high,en,Performance,IT,Tech Support,Bug,performance challenges in data analytics we are currently facing performance issues with our data an
Incident,Product Support,high,en,Security,Breach,Resolution,Investigation,support inquiry for medical data breach dear customer support i am contacting you to address a signi
Incident,Technical Support,high,en,Bug,Performance,IT,Tech Support,customer support i am writing to report an incident with the data analytics tools the tools crashed 
Request,Technical Support,medium,en,Security,IT,Tech Support,Performance,enhancing security of hospital database systems in reaching out for support the customer seeks guida
Change,Service Outages and Maintenance,high,en,Technical,Security,Breach,IT,enhanced medical data security greetings customer support i hope this message finds you well i am re
Incident,Technical Support,high,de,Feedback,Performance,Feature,Documentation,geehrte kundenservice in den letzten wochen wurden erhebliche abnahmen in den online beteiligungsmes
Request,Customer Service,high,en,IT,Tech Support,Feedback,Documentation,support team for data analytics looking for information on data analytics services particularly for 
Change,Technical Support,medium,de,Security,IT,Tech Support,Documentation,significance of implementing advanced security protocols for medical data management dear customer s
Problem,IT Support,medium,en,Crash,Dashboard,Bug,Software,data analytics dashboard experienced unexpected failure dear customer support i am contacting you to
Request,IT Support,high,de,Technical,Security,Breach,Login,verschlüsselungsmethoden welche verschlüsselungstechniken werden in medizinischen it systemen von kr
Change,Product Support,medium,en,Feature,Feedback,Documentation,,enhance user interface the current ui is cumbersome please improve navigation aesthetics to enhance 
Incident,Technical Support,high,de,Technical,Security,Bug,Crash,schwierigkeiten bei der verschlüsselung medizinischer daten sehr geehrte kundensupport n nich möchte
Incident,Customer Service,medium,de,Performance,Feedback,IT,Tech Support,support for drop an unexpected decline in engagement metrics has been observed which might be due to
Problem,Customer Service,low,en,Feedback,Performance,Marketing,Sales,required assistance for marketing campaign optimization marketing campaigns are currently underperfo
Problem,Billing and Payments,medium,en,Technical,Hardware,Scanner,Software,problem with document scanning the scanner is not functioning properly and is unable to upload medic
Change,Technical Support,high,en,Feature,Performance,Documentation,Feedback,enhanced analytics integration inquiry for support on integrating advanced analytics features which 
Change,Service Outages and Maintenance,high,de,Disruption,Performance,Recovery,Feedback,störungen beeinträchtigen markenwachstum bitte schreiben sie eine stelle die unterstützung bei der b
Request,Product Support,medium,en,Product,Feature,Documentation,Feedback,query for projektor product specifications and integration details hello customer support i am writi
Incident,Product Support,low,en,Bug,Performance,Documentation,Feedback,variations in digital strategy metrics across different platforms a marketing agency faced inconsist
Problem,Returns and Exchanges,low,en,Technical,Bug,Product,Feedback,support request for data analytics tool issues i encountered problems with my data analytics tools a
Problem,Technical Support,high,en,Technical,Bug,Performance,Resolution,detected unreliable investment forecasts unreliable forecasts caused by obsolete models
Change,Technical Support,medium,en,Technical,Feedback,Feature,Documentation,improve current project dashboard the project dashboard could benefit from enhancements through the 
Incident,IT Support,high,en,Customer,Billing,Product,Performance,concern regarding investments data analytics reports hello customer support n ni hope this message f
Change,Product Support,medium,de,Feature,Feedback,IT,,update datenanalysewerkzeuge forderung aktualisieren der werkzeuge für bessere investitionen
Problem,Technical Support,low,en,Bug,Crash,Performance,IT,request for support with knime have encountered unexpected crashes while running workflows in knime 
Problem,Customer Service,medium,en,Bug,Performance,Product,IT,trouble with data integration for reports a financial company faced problems with data integration t
Request,Product Support,medium,en,Feature,Documentation,Feedback,Training,customer service financial inquiry tool i am seeking information on data analytics tools to assist i
Request,Customer Service,low,de,Security,Medical,Guidance,Documentation,sicherheit von medizinischen daten welche sicherheitsprotokolle werden für die speicherung und übert
Incident,Service Outages and Maintenance,high,en,Outage,Disruption,Recovery,Performance,system outage impacting key applications system outage impacting crucial applications
Incident,Customer Service,medium,en,Technical,Bug,Crash,Resolution,project management portal has frozen abruptly possibly due to incompatible software updates after re
Incident,Technical Support,high,en,Security,IT,Tech Support,Alert,concern over medical data security customer support with incident id 23456 we have encountered unaut
Request,IT Support,high,en,Feedback,Feature,Documentation,,enhancing investment tactics with h2o ai would it be possible to offer comprehensive guidance on opt
Incident,Customer Service,low,en,Security,Breach,Disruption,Incident,concern regarding medical data encryption failure to the support team here is a detailed account of 
Incident,Technical Support,high,de,Technical,Crash,Application,Feedback,trouble with data analysis desktop application the data analysis desktop application has crashed i h
Problem,Technical Support,high,en,Bug,Performance,IT,Tech Support,request for assistance with inaccurate investment predictions our financial firm is facing issues wi
Incident,Product Support,low,en,Security,Breach,Technical,Upgrade,data breach concern with postgresql upgrade hello customer support i am contacting you to inform you
Incident,Technical Support,high,de,Technical,Bug,Software,Crash,das projektmanagementtool funktioniert nicht mehr es gibt probleme mit dem projektmanagementtool es 
Incident,Technical Support,high,en,Security,Virus,IT,Tech Support,support for unauthorised access an unauthorized access attempt was identified in the hospital s syst
Problem,Technical Support,low,en,Customer,Marketing,Campaign,Content,issues with marketing agency s digital campaigns the digital campaigns are failing to meet the expec
Problem,Technical Support,high,de,Security,Bug,Performance,IT,ich schreibe ihnen über eine dringende angelegenheit im zusammenhang mit der sicherheit medizinische
Incident,Technical Support,high,de,Security,Virus,Network,IT,unbefugtes zugriffsversuch auf gesundheitssysteme festgestellt es wurde ein unerlaubter zugriffsvers
Problem,Technical Support,high,de,Bug,Performance,Network,IT,issue with session timeouts users are frequently encountering session timeouts while using the proje
Problem,Product Support,high,de,Security,Virus,IT,Tech Support,meldung über verletzung vertraulicher daten es ist ein datenverlust aufgetreten der vertraulichen me
Incident,Product Support,medium,en,Technical,Customer,Performance,Feedback,request for support regarding investment predictions i am contacting you to address an issue with th
Problem,Technical Support,low,en,Security,Breach,Feedback,Guidance,health data leaks caused by flawed security strategies respected customer service team i am contacti
Problem,Product Support,low,en,Security,Database,Unauthorized,Access,assistance required for unauthorized database access respected customer support i am contacting you 
Request,Product Support,high,de,Security,Recovery,Maintenance,IT,begleitung ich schreibe an um rat zur sicherung medizinischer daten in einem postgresql 13 umfeld fü
Problem,Billing and Payments,medium,en,Billing,Payment,Account,Bug,concerns about billing system facing unanticipated billing inconsistencies across various software a
Problem,Customer Service,low,de,Customer,Product,Integration,Bug,problem bei der integration in quickbooks sehr geehrte kundenservice ich habe schwierigkeiten beim s
Request,Technical Support,medium,en,Feature,Documentation,IT,Tech Support,assistance required for rapidminer integration hello customer support i am reaching out to seek guid
Incident,Technical Support,high,de,Security,IT,Tech Support,Alert,detektierte unerlaubte zugriffsversuche auf das it system des krankenhauses es wurde ein unerlauber 
Incident,Product Support,medium,de,Bug,Performance,IT,Tech Support,message issues with data update planned data update provided incomplete data for the investment anal
Problem,Customer Service,low,en,Technical,Bug,Data,Forecast,investment forecast issue hello customer support i am contacting you to report that investment forec
Request,Product Support,low,de,Feedback,IT,Tech Support,,folge auf unterstützung bei datenanalyse ich würde gerne mehr details zu den datenanalyse dienstleis
Change,Product Support,medium,en,Security,Feedback,Product,Feature,support for data security enhancements request for improvements in data security protocols for manag
Request,Human Resources,medium,de,Feedback,Sales,Feature,,strategien für den digitalen markenwachstum können sie mir details zu digitalen strategien für die v
Request,Billing and Payments,low,en,Billing,Payment,Refund,Account,request for investment analytics support hello customer support i am reaching out to inquire about t
Problem,Billing and Payments,high,de,Payment,Billing,Subscription,Support,problems with payment for subscription extension the latest subscription extension was booked twice 
Change,Sales and Pre-Sales,low,en,Sales,Product,Training,Feedback,dear customer support n ni hope this message finds you well i am interested in learning more about t
Problem,Product Support,medium,de,Outage,Disruption,Security,IT,datensperrung in krankenhaus systemen identifiziert datensperrung im krankenhaus system die medizini
Request,Product Support,low,de,Customer,Integration,Documentation,Feedback,verfügbare integrationsmöglichkeiten für zoho books liebe kundensupport ich möchte mich bei ihnen me
Incident,Sales and Pre-Sales,high,en,Performance,Campaign,Engagement,Conversion,concerns over campaign performance the digital campaign failed to meet expectations due to poor enga
Request,IT Support,high,de,Backup,Security,Documentation,IT,sicherung medizinischer daten in redis 6 2 hallo kundenservice ich bitte sie mir rat zur sicherung m
Incident,Product Support,medium,en,Technical,Integration,Bug,Documentation,support for integration difficulties i am contacting you to bring to your attention integration prob
Problem,Customer Service,high,de,Network,Disruption,Account,IT,marketing agency facing communication issues with customers regarding airtable spotify integration d
Problem,Technical Support,medium,en,Bug,Crash,Network,Performance,facing software crashes and connectivity issues our agency is encountering software crashes and conn
Incident,Product Support,medium,de,Security,IT,Tech Support,Bug,it security issue assistance dear customer service recently unauthorized access to the hospital s it
Request,Product Support,medium,en,Feature,Documentation,Feedback,IT,guidance required for zoho crm integration hello customer support i am reaching out to inquire about
Request,Sales and Pre-Sales,high,en,Product,Strategy,Growth,Digital,strategies for enhancing brand growth and product development digitally our company is looking for d
Problem,Returns and Exchanges,medium,de,Technical,Product,Bug,Resolution,probleme mit der investment daten analytics plattform visualisierungsfehler plötzlich sind fehler in
Incident,Technical Support,medium,de,Bug,Performance,Hardware,IT,assistance needed for audio latency issues with asus xonar ae on macbook air experiencing audio late
Incident,IT Support,medium,de,Security,IT,Tech Support,Bug,sicherheitsanomalie melden an support team es wurde versucht das krankenhausauftrittssystem mit eine
Incident,Returns and Exchanges,medium,en,Technical,Bug,Integration,Dashboard,concern regarding the investment analysis dashboard a brief description of the issue the investment 
Incident,Technical Support,high,de,Security,Performance,Outage,IT,message breach in customer support experienced a breach involving protected medical data recent soft
Problem,Customer Service,medium,en,Login,Performance,Outage,IT,critical issue users experiencing intermittent login failures dear customer support i would like to 
Problem,Customer Service,low,en,Performance,Hardware,IT,Tech Support,finance support the finance team is facing slow data processing speeds this issue might be due to ou
Request,Human Resources,low,de,Security,Documentation,Technical,Safety,sicherheit medizinischer daten auf ubuntu ich benötige anleitungen zur sicherstellung der medizinisc
Incident,Technical Support,low,de,Technical,Integration,Bug,Documentation,issue with project tasks synchronization via zoho crm integration i am writing to report a problem w
Request,IT Support,high,en,Feature,Documentation,Feedback,Training,request for detailed specifications of project management saas platform hello i am writing to inquir
Incident,Customer Service,low,en,Customer,SocialMedia,Engagement,Guidance,unforeseen decline in social media engagement demands support hi customer support i ve encountered a
Incident,Technical Support,high,en,Bug,Crash,Performance,IT,application crashes during project management encountered unexpected application crashes while handl
Problem,Customer Service,medium,en,Security,IT,Tech Support,,support security breach inquiry unauthorized access attempts on medical data are being reported
Problem,Product Support,low,de,Technical,Bug,Performance,Feedback,unpräzise investitionsprognosen unterstützung benötigt es geht mir um einen fehler in der investitio
Request,Customer Service,high,de,Security,Guidance,Documentation,Privacy,unterstützung für datensicherheit sehr geehrte kundenservice ich schreibe an dieser stelle um zu erk
Problem,Technical Support,high,de,Technical,Bug,Crash,Software,probleme mit dem analyse dashboard das analyse dashboard hat unangemessen gestoppt das problem könnt
Problem,Returns and Exchanges,low,en,Technical,Investment,Bug,Resolution,required support for investment there have been inaccurate predictions in investments owing to fault
Incident,Technical Support,high,de,Technical,Security,Breach,IT,suspicious data spill detected a suspicious data spill has been detected due to inadequate firewall 
